high,low,code,price
12250,6620,000020,9450
14650,7950,000050,11300
9990,5390,000140,7690
10500,5660,000145,8080
13750,7450,000220,10600
16150,8750,000230,12450
15850,8550,000320,12200
10350,5600,000700,7990
18000,9700,00088K,13850
13100,7100,000970,10100
14150,7650,000990,10900
17900,9700,001070,13800
15950,8650,001140,12300
10200,5510,001230,7870
18500,10000,001260,14250
11250,6070,001500,8660
11900,6420,001525,9160
14350,7750,001527,11050
16300,8800,001685,12550
10400,5610,001755,8010
15600,8400,001795,12000
16950,9150,001940,13050
14800,8000,002100,11400
11350,6130,002150,8750
12100,6520,002350,9310
12800,6900,002787,9850
18450,9950,002810,14200
14550,7850,002990,11200
9730,5250,003070,7490
17550,9450,003460,13500
16500,8900,003465,12700
18100,9800,003495,13950
14400,7800,003540,11100
11000,5940,003545,8480
10400,5600,003547,8000
9330,5030,003570,7180
11250,6070,003690,8660
12900,6970,003850,9950
13000,7000,004080,10000
15950,8650,004360,12300
12950,7000,004380,9990
13750,7450,004440,10600
12100,6540,004560,9340
10400,5610,004720,8010
17200,9300,004970,13250
15950,8650,004980,12300
12950,6980,004985,9970
13500,7300,004989,10400
15400,8300,005010,11850
17700,9600,005190,13650
15950,8650,005420,12300
15050,8150,005680,11600
16550,8950,005690,12750
14550,7850,005740,11200
14850,8050,005745,11450
10100,5460,005870,7790
16700,9000,005940,12850
11000,5940,005945,8480
12400,6700,005950,9560
12800,6910,006090,9870
11550,6230,006370,8890
11550,6230,006660,8900
12050,6510,008060,9300
13900,7500,008250,10700
16550,8950,008730,12750
14300,7700,009410,11000
13150,7150,009680,10150
14850,8050,009835,11450
9630,5190,010140,7410
12450,6720,010400,9600
11550,6230,011690,8890
15600,8400,011810,12000
10700,5770,012205,8240
12000,6470,013870,9240
10500,5680,014915,8110
15600,8400,016380,12000
10700,5770,016450,8240
14000,7600,018880,10800
14000,7600,024090,10800
17600,9500,024110,13550
13500,7300,025620,10400
15950,8650,025860,12300
9710,5230,027410,7470
14950,8050,029460,11500
11650,6300,030610,8990
11600,6260,030720,8930
10700,5780,032560,8250
16500,8900,033180,12700
15650,8450,033240,12050
10500,5660,033530,8080
10200,5510,033660,7860
17550,9450,033920,13500
13050,7050,034020,10050
15950,8650,036530,12300
9450,5090,036580,7270
12450,6730,037560,9610
12250,6610,039570,9430
10600,5720,042670,8160
9620,5180,042700,7400
14950,8050,053210,11500
14400,7800,053690,11100
10600,5720,058730,8170
16700,9000,068400,12850
9780,5280,069640,7530
16800,9100,078000,12950
13750,7450,078520,10600
13700,7400,079660,10550
9300,5020,079980,7160
10850,5860,084690,8370
12100,6520,088980,9310
10400,5600,090350,8000
10750,5790,090355,8270
9630,5190,091170,7410
17770,9570,091180,13670
9885,5325,091220,7605
9630,5190,091810,7410
9770,5270,093370,7520
13450,7250,094280,10350
9300,5020,096760,7160
10215,5505,097750,7860
13485,7265,098560,10375
14650,7950,100840,11300
15395,8295,101280,11845
12350,6670,101530,9520
10345,5575,104520,7960
9970,5370,104530,7670
12265,6605,108450,9435
12000,6490,111110,9260
9285,5005,114800,7145
14655,7895,117460,11275
10325,5565,117680,7945
10075,5425,123310,7750
14100,7600,123690,10850
17030,9170,131890,13100
12295,6625,132030,9460
14300,7700,136490,11000
15545,8375,137930,11960
14800,8000,138040,11400
15095,8135,138230,11615
17250,9350,138250,13300
11035,5945,138520,8490
9710,5230,138530,7470
11625,6265,138920,8945
10450,5640,139130,8050
10780,5810,139240,8295
17020,9170,139250,13095
